Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,154,154 CHEDRAUI MEXICO XOCHIMILCO 12-13,19.2460535,-99.0771201,6,2
Chedraui,233,233 CHEDRAUI SELECTO MEXICO COAPA 04-05,19.3113421,-99.1238456,6,2
La Comer,149,149 LA COMER IZTAPALAPA LAS TORRES,19.3518625,-99.0127219,4,2
La Comer,55,55 LA COMER VILLA COAPA,19.3049446,-99.1259307,4,2
Nutrisa,12031,CALZ. DEL HUESO # 519 COL. RESIDENCIAL ACOXPA CP. 14300 DEL. O MPIO. COYOACÁN,19.3026292,-99.1233066,1,2
Nutrisa,12032,CALZ. DEL HUESO # 519 COL. RESIDENCIAL ACOXPA CP. 14300 DEL. O MPIO. COYOACÁN,19.3026292,-99.1233066,1,2
Nutrisa,12323,AV. ACOXPA # 436 COL. EX HACIENDA COAPA CP. 14308 DEL. O MPIO. COYOACÁN,19.2976681,-99.1372092,1,2
Nutrisa,12323,AV. ACOXPA # 436 COL. EX HACIENDA COAPA CP. 14308 DEL. O MPIO. COYOACÁN,19.2976681,-99.1372092,1,2
Nutrisa,12384,AV. TLAHUAC # 4409 COL. LOMAS ESTELLA CP. 9890 DEL. O MPIO. IZTAPALAPA,19.3213273,-99.0943539,1,2
Nutrisa,12534,CALLE CAÑAVERALES # 222 COL. GRANJAS COAPA CP. 14330 DEL. O MPIO. XOCHIMILCO,19.2958723,-99.11118,1,2
Nutrisa,12723,AUTOPISTA MÉXICO QUERETARO # KM 30.2 COL. SAN MARTIN TEPETLIXPAN CP. 54760 DEL. O MPIO. CUAUTITLÁN IZCALLI,19.1996,-99.16462,1,2
Nutrisa,12803,"CALZ. ACOXPA #610, COL. VILLA COAPA, ALC. TLALPAN,  C.P. 14390, CDMX",19.2933367,-99.1280291,1,2
Walmart Mexico,3799,3799 BA LOS ANGELES IZTAPALAPA,19.3429911,-99.0419177,6,2
Walmart Mexico,2041,2041 SC TOLTECAS,19.316683,-99.1253843,6,2
Walmart Mexico,2347,2347 SC TLAHUAC,19.3190332,-99.0769068,6,2
Walmart Mexico,2382,2382 SC INTERLOMAS,19.316683,-99.1253843,6,2
Walmart Mexico,3857,3857 SC VILLA COAPA,19.2936435,-99.1252539,6,2
Walmart Mexico,4191,4191 SC LAGO DE GUADALUPE,19.314714,-99.0773656,6,2
Walmart Mexico,4547,4547 SC PLAZA EDUARDO MOLINA,19.314714,-99.0773656,6,2
Walmart Mexico,1053,1053 WE ACOXPA,19.2976923,-99.1372521,6,2
Walmart Mexico,3199,3199 WE PASEOS DE TAXQUENA,19.3391982,-99.1265836,6,2
Walmart Mexico,3827,3827 WE PERIFERICO,19.2954137,-99.1560986,6,2
Walmart Mexico,3831,3831 WE COYOACAN,19.3106359,-99.1247618,6,2
Walmart Mexico,3835,3835 WE LOMAS ANAHUAC,19.3106359,-99.1247618,6,2
Walmart Mexico,3840,3840 WE PATIO PEDREGAL,19.2896354,-99.1149467,6,2
Walmart Mexico,3843,3843 WE DIVISION DEL NORTE,19.3210431,-99.139077,6,2
