Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,232,232 CHEDRAUI SELECTO MEXICO POLANCO 05-05,19.4340199,-99.1956012,6,9
La Comer,377,377 CITY MARKET LOMAS,19.4187514,-99.2146992,4,9
La Comer,403,403 CITY MARKET PLAZA CARSO,19.4430126,-99.203178,4,9
La Comer,376,376 FRESKO TECAMACHALCO,19.421515,-99.2381589,4,9
La Comer,112,112 LA COMER SANTA MARIA LA RIBERA,19.4511147,-99.1636593,4,9
La Comer,400,400 LA COMER LAGO ALBERTO,19.4397527,-99.1842055,4,9
La Comer,231,231 SUMESA POLANCO,19.4308628,-99.1968951,4,9
Nutrisa,12003,MELCHOR OCAMPO # 193 COL. VERÓNICA ANZURES CP. 11300 DEL. O MPIO. CUAUHTÉMOC,19.4353234,-99.1711742,1,9
Nutrisa,12056,AV. INGENIEROS MILITARES # 70 COL. PARQUE INDUSTRIAL CP. 11230 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.4642193,-99.2390696,1,9
Nutrisa,12068,BLVD. M. CERVANTES SAAVEDRA # 397 COL. IRRIGACIÓN CP. 11579 DEL. O MPIO. MIGUEL HIDALGO,19.4428958,-99.207905,1,9
Nutrisa,12068,BLVD. M. CERVANTES SAAVEDRA # 397 COL. IRRIGACIÓN CP. 11579 DEL. O MPIO. MIGUEL HIDALGO,19.4428958,-99.207905,1,9
Nutrisa,12078,AV. EJÉRCITO NACIONAL # 980 COL. LOS MORALES CP. 11510 DEL. O MPIO. MIGUEL HIDALGO,19.4375999,-99.2070395,1,9
Nutrisa,12193,"EJE 3 NTE 3651, VICTORIA DE LAS DEMOCRACIAS, 02810 CIUDAD DE MÉXICO, CDMX",19.471244,-99.1646479,1,9
Nutrisa,12268,AVENIDA EJERCITO NACIONAL N° 843 - B # GRANADA COL. MIGUEL HIGALGO CP. 11520 DEL. O MPIO. MIGUEL HIDALGO,19.439073,-99.2023036,1,9
Nutrisa,12339,AV. SAN ESTEBAN # 46 COL. SAN ESTEBAN HIUTZILACASCO CP. 53550 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.4587054,-99.2337001,1,9
Nutrisa,12345,LAGO ZURICH # 245 COL. AMPLIACION GRANADA CP. 11529 DEL. O MPIO. MIGUEL HIDALGO,19.4421254,-99.2034604,1,9
Nutrisa,12370,LAGO ZURICH # 245 COL. AMPLIACION GRANADA CP. 11529 DEL. O MPIO. MIGUEL HIDALGO,19.4421254,-99.2034604,1,9
Nutrisa,12389,"AV CONSTITUYENTES 268, BOSQUE DE CHAPULTEPEC II SECC, MIGUEL HIDALGO, 11840 CIUDAD DE MÉXICO, CDMX",19.4113584,-99.1944475,1,9
Nutrisa,12809,LAGO ALBERTO ESQ. MARIANO ESCOBEDO # 320 COL. ANAHUAC CP. 5160 DEL. O MPIO. MIGUEL HIDALGO,19.4379482,-99.1834831,1,9
Nutrisa,13221,BOULEVAR MANUAL AVILA CAMACHO # 0 COL. LOMAS DE SOTELO CP. 11220 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.4682741,-99.2262029,1,9
Nutrisa,13692,"EGIPTO # 142, COLONIA CLAVERIA, DELEGACION AZCAPOTZALCO, CP: # 142 COL. CLAVERIA CP. 2080 DEL. O MPIO. AZCAPOTZALCO",19.4640154,-99.1818585,1,9
Walmart Mexico,2344,2344 SC TOREO,19.4673669,-99.225674,6,9
Walmart Mexico,2466,2466 SC CUITLAHUAC,19.4715108,-99.1651608,6,9
Walmart Mexico,3862,3862 SC AZCAPOTZALCO,19.4740464,-99.189213,6,9
Walmart Mexico,3025,3025 WE PARQUES POLANCO,19.4408518,-99.1847365,6,9
Walmart Mexico,3480,3480 SP WTC DAKOTA,19.4338403,-99.1901483,6,9
Walmart Mexico,3629,3629 WE ECHEGARAY,19.4338403,-99.1901483,6,9
Walmart Mexico,3812,3812 WE NARVARTE,19.415728,-99.2261685,6,9
Walmart Mexico,3816,3816 WE PEDREGAL,19.4350324,-99.2095543,6,9
Walmart Mexico,3825,3825 WE SAN MATEO,19.4350324,-99.2095543,6,9
Walmart Mexico,3829,3829 WE B. DE LAS LOMAS,19.4349022,-99.1858385,6,9
Walmart Mexico,3830,3830 WE VIRREYES,19.4211952,-99.2070795,6,9
