Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,816,816 SUPER CHEDRAUI COSMOPOL COACALCO 10-22,19.6321549,-99.1232499,6,3
La Comer,127,127 LA COMER TULTITLAN,19.6665407,-99.080436,4,3
Nutrisa,12165,"AV. BOSQUES DEL ESTADO DE MÉXICO, MZ 1, LT. 1 SECCIÓN 1 , COL. LOS HEROÉS TECAMAC, ESTADO DE MÉXICO, CP 55764",19.6200469,-99.0359727,1,3
Nutrisa,12185,"VÍA JOSÉ LÓPEZ PORTILLO NO. 105 L-34, COL. ZACUAUTITLA, COACALCO DE BERRIOZABAL, ESTADO DE MÉXICO, CP 55700.",19.6368142,-99.0965533,1,3
Nutrisa,12187,"VÍA JOSÉ LOPEZ PORTILLO NO. 220 L-9I Y L-9J, COL. SAN LORENZO TETLIXTAC, COACALCO DE BERRIOZABAL, ESTADO DE MÉXICO, CP 55714",19.6271211,-99.0819506,1,3
Nutrisa,12214,AV. CENTRAL MZ 632 # 50 COL. CIUDAD AZTECA CP. 55120 DEL. O MPIO. ECATEPEC,19.5348037,-99.027693,1,3
Nutrisa,12263,AV. CENTRAL HANG GONZÁLEZ # ESQUINA 1º MAYO COL. JARDINES DE MORELOS CP. 55075 DEL. O MPIO. ECATEPEC,19.5279489,-99.03085,1,3
Nutrisa,12517,VÍA JOSÉ LÓPEZ PORTILLO # 1 COL. SAN FRANCISCO COACALCO CP. 55712 DEL. O MPIO. COACALCO DE BERRÍOZABAL,19.6391892,-99.0890882,1,3
Nutrisa,12532,AV. REVOLUCIÓN S/N ESQ. CONSTITUCIÓN # S/N COL. SAN CRUSTÓBAL CP. 55000 DEL. O MPIO. ECATEPEC,19.604292,-99.0464724,1,3
Nutrisa,12553,AV. CENTRAL CARLOS HANK GONZALEZ # S/N COL. SANTA MARIA TULTETLAC CP. 55400 DEL. O MPIO. ECATEPEC,19.5712842,-99.0584911,1,3
Nutrisa,12934,"AV. INSURGENTES ESQ. CON AV. PASEO DE LAS AMÉRICAS 138, CONJUNTO URBANO LAS AMÉRICAS, ECATEPEC DE MORELOS, EDO. DE MÉX.",19.5838419,-99.0121767,1,3
Walmart Mexico,2464,2464 SC MIRAMONTES,19.6177867,-99.0405955,6,3
Walmart Mexico,2689,2689 SC FELIX CUEVAS,19.6177867,-99.0405955,6,3
Walmart Mexico,3176,3176 SC OJO DE AGUA,19.6067593,-99.0455343,6,3
Walmart Mexico,3900,3900 SC COACALCO,19.6368846,-99.0974126,6,3
Walmart Mexico,4628,4628 SC LAS ANTENAS,19.5902887,-99.0218918,6,3
Walmart Mexico,5040,5040 SC JIMENEZ CANTU SPCT,19.5902887,-99.0218918,6,3
