Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Nutrisa,12012,C. COMERCIAL PLAZA FIESTA IZCALLI # S/N COL. ARCOS DEL ALBA CP. 54770 DEL. O MPIO. CUAUTITLÁN,19.6471163,-99.2060873,1,5
Nutrisa,12044,AV. 1 DE MAYO ESQ. AV. HUIXQUILUCAN Y AV. CONSTITUCIÓN # S/N COL. CENTRO CP. 2800 DEL. O MPIO. CUAUTITLÁN,19.6569606,-99.1962005,1,5
Nutrisa,12125,AV. HACIENDA SIERRA VIEJA. # 2 COL. FRACC. HACIENDA DEL PARQUE CP. 54769 DEL. O MPIO. CUAUTITLÁN,19.6021727,-99.1916473,1,5
Nutrisa,12125,AV. HACIENDA SIERRA VIEJA. # 2 COL. FRACC. HACIENDA DEL PARQUE CP. 54769 DEL. O MPIO. CUAUTITLÁN,19.6021727,-99.1916473,1,5
Nutrisa,12186,"CAMINO A LAGO DE GUADALUPE S/N, LOC.12 COL. BARRIENTOS, ATIZAPAN DE ZARAGOZA, ESTADO DE MÉXICO, CP 54010",19.6403141,-99.272098,1,5
Nutrisa,12283,AV. PROLONGACIÓN MORELOS # S/N COL. SANTA MARÍA CP. 54800 DEL. O MPIO. CUAUTITLÁN IZCALLI,19.6693002,-99.1706261,1,5
Nutrisa,12290,FRACCION 3 RANCHO LA PALMA VIA JOSE LOPEZ PORTILLO # S/N COL. COACALCO CP. 55717 DEL. O MPIO. COACALCO DE BERRIOZABAL,19.6289765,-99.1347017,1,5
Nutrisa,12703,AV. HUEHUETOCA LOTE 1 # S/N COL. EX HACIENDA SAN MIGUEL CP. 54715 DEL. O MPIO. CUAUTITLÁN IZCALLI,19.6866634,-99.2099739,1,5
Nutrisa,12703,AV. HUEHUETOCA LOTE 1 # S/N COL. EX HACIENDA SAN MIGUEL CP. 54715 DEL. O MPIO. CUAUTITLÁN IZCALLI,19.6866634,-99.2099739,1,5
Walmart Mexico,1044,1044 SC SAN MARCOS IZCALLI,19.6711954,-99.2049104,6,5
Walmart Mexico,2284,2284 SC PORTAL CUAUTITLAN,19.6883084,-99.2259315,6,5
Walmart Mexico,4018,4018 SC SANTA MARIA,19.5897344,-99.1709047,6,5
Walmart Mexico,3896,3896 WE FUENTES DEL PEDREGAL,19.6448285,-99.2046084,6,5
Walmart Mexico,3921,3921 WE VISTAHERMOSA,19.6448285,-99.2046084,6,5
Walmart Mexico,4666,4666 WE IZCALLI,19.6448285,-99.2046084,6,5
