Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,234,234 CHEDRAUI MEXICO AJUSCO 04-05,19.2992552,-99.2126499,6,7
La Comer,380,380 CITY MARKET SAN JERONIMO,19.3355011,-99.1960415,4,7
La Comer,131,131 LA COMER OLIVAR,19.3347508,-99.2270525,4,7
La Comer,17,17 LA COMER TLALPAN,19.2889113,-99.17922,4,7
Nutrisa,12002,PERIFÉRICO SUR # 4690 COL. JARDINES DEL PEDREGAL DE SAN ANGEL CP. 4500 DEL. O MPIO. COYOACÁN,19.3045316,-99.1911815,1,7
Nutrisa,12008,AV. SAN JERÓNIMO # 630 COL. LA OTRA BANDA CP. 10200 DEL. O MPIO. ALVARO OBREGÓN,19.3262082,-99.2114565,1,7
Nutrisa,12046,ALTAMIRANO # 46 COL. TIZAPAN DE SAN ANGEL CP. 1090 DEL. O MPIO. ALVARO OBREGÓN,19.3391339,-99.1934976,1,7
Nutrisa,12052,AV. SAN FERNANDO # 649 COL. PEÑA POBRE CP. 14060 DEL. O MPIO. COYOACÁN,19.2981371,-99.1815197,1,7
Nutrisa,12088,CARR. PICACHO AJUSCO # 175 COL. HÉROES DE PADIERNA CP. 14200 DEL. O MPIO. TLALPAN,19.2871707,-99.2184909,1,7
Nutrisa,12088,CARR. PICACHO AJUSCO # 175 COL. HÉROES DE PADIERNA CP. 14200 DEL. O MPIO. TLALPAN,19.2871707,-99.2184909,1,7
Nutrisa,12589,ANILLO PERIFÉRICO SUR # 4690 COL. JARDINES DEL PEDREGAL DE SAN ANGEL CP. 4500 DEL. O MPIO. COYOACÁN,19.3045316,-99.1911815,1,7
Nutrisa,12811,"INSURGENTES SUR NO. 4177, COLONIA SANTA URSULA XITLA, DELEGACIÓN TLALPAN, C.P. 14420, CDMX",19.2840103,-99.1758052,1,7
Walmart Mexico,2644,2644 SC PATIO TLALPAN,19.2840103,-99.1758052,6,7
Walmart Mexico,3850,3850 SC ECHEGARAY,19.3609179,-99.2202554,6,7
Walmart Mexico,3863,3863 SC PERIFERICO SUR,19.3064068,-99.1873094,6,7
Walmart Mexico,3876,3876 SC LAS AGUILAS,19.3528526,-99.2153484,6,7
Walmart Mexico,3877,3877 SC TORRES LINDAVISTA,19.3609179,-99.2202554,6,7
Walmart Mexico,2830,2830 WE JARDINES N LA MONTANA,19.3024453,-99.2067979,6,7
Walmart Mexico,3177,3177 SP INSURGENTES LA JOYA,19.2824278,-99.1731855,6,7
Walmart Mexico,3813,3813 WE CHURUBUSCO,19.3354026,-99.1993939,6,7
Walmart Mexico,3815,3815 WE TECAMACHALCO,19.328835,-99.2049399,6,7
Walmart Mexico,3837,3837 SP LUIS CABRERA,19.3213377,-99.221494,6,7
Walmart Mexico,3839,3839 WE GIRASOLES,19.3054257,-99.2217321,6,7
Walmart Mexico,3844,3844 WE BOSQUES DE MINAS,19.3054257,-99.2217321,6,7
Walmart Mexico,3915,3915 WE AV TOLUCA,19.3395079,-99.2188982,6,7
Walmart Mexico,5817,5817 WE AXOMIATLA,19.3424915,-99.2481777,6,7
