Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,109,109 SUPER CHEDRAUI SELECTO INTERLOMAS HILLS 08-19,19.3977082,-99.2905997,6,1
Chedraui,231,231 CHEDRAUI SELECTO MEXICO INTERLOMAS 04-05,19.3929147,-99.2819658,6,1
Chedraui,652,652 SUPER CHEDRAUI SELECTO MEX. SAMARA 11-11,19.3674396,-99.2592183,6,1
Chedraui,805,805 SUPER CHEDRAUI SELECTO PARQUE DURAZNOS 08-22,19.4036489,-99.2423769,6,1
Chedraui,98,98 CHEDRAUI SELECTO MEXICO SANTA FE 09-13,19.3599723,-99.2745208,6,1
La Comer,305,305 CITY MARKET INTERLOMAS,19.4057702,-99.2730877,4,1
La Comer,379,379 CITY MARKET SANTA FE,19.3580093,-99.2722784,4,1
La Comer,137,137 FRESKO PABELLON BOSQUES,19.3824332,-99.2675796,4,1
La Comer,402,402 FRESKO JESUS DEL MONTE,19.3888474,-99.2933213,4,1
La Comer,435,435 FRESKO LA HERRADURA,19.411313,-99.2494959,4,1
La Comer,14,14 LA COMER LOMAS ANAHUAC,19.3993649,-99.2747084,4,1
Nutrisa,12023,"VIALIDAD DE LA BARRANCA 6-LOCAL 17, COL. EX HACIENDA JESÚS DEL MONTE, BOSQUE DE LAS PALMAS, 52787 NAUCALPAN DE JUÁREZ, MÉX.",19.3973512,-99.282199,1,1
Nutrisa,12057,BLVD. MAGNOCENTRO # 35 COL. SAN FERNANDO LA HERRRADURA CP. 52784 DEL. O MPIO. HUIXQUILUCAN,19.4203123,-99.2494728,1,1
Nutrisa,12070,PROL. BOSQUES DE LA REFORMA # 1813 COL. LOMAS DE VISTA HERMOSA CP. 5100 DEL. O MPIO. CUAJIMALPA,19.398161,-99.2494957,1,1
Nutrisa,12326,AV. VASCO DE QUIROGA # 3850 COL. SANTA FE CP. 5109 DEL. O MPIO. CUAJIMALPA,19.3683056,-99.2583886,1,1
Nutrisa,12518,AV. JUÁREZ # 49 COL. CUAJIMALPA CP. 5000 DEL. O MPIO. CUAJIMALPA,19.3564629,-99.2983643,1,1
Walmart Mexico,3504,3504 SC AV JESUS DEL MONTE,19.3988317,-99.2884339,6,1
Walmart Mexico,3858,3858 SC CUAJIMALPA,19.3631197,-99.2872985,6,1
Walmart Mexico,5765,5765 SC LAS AMERICAS,19.3988317,-99.2884339,6,1
Walmart Mexico,5855,5855 SC LAS ALAMEDAS,19.3988317,-99.2884339,6,1
Walmart Mexico,3034,3034 WE F DE LAS LOMAS,19.3952547,-99.2891437,6,1
Walmart Mexico,3826,3826 WE VIVEROS,19.4070033,-99.2389719,6,1
Walmart Mexico,3841,3841 WE LILAS,19.387612,-99.2479528,6,1
Walmart Mexico,3849,3849 SP ESMERALDA,19.3728595,-99.2788615,6,1
Walmart Mexico,3881,3881 WE STA FE,19.3728595,-99.2788615,6,1
