Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,814,814 SUPER CHEDRAUI SELECTO WTC 10-22 SEARS,19.3946846,-99.1740162,6,4
Chedraui,670,670 SUPER CHEDRAUI MEXICO TEZONTLE 12-15,19.3959287,-99.1130023,6,4
La Comer,227,227 SUMESA BAJÃO,19.4029754,-99.1658757,4,4
La Comer,229,229 SUMESA MIER Y PESADO,19.3939565,-99.1657484,4,4
La Comer,230,230 SUMESA COLIMA,19.4204687,-99.1581559,4,4
La Comer,232,232 SUMESA LONDRES,19.4256407,-99.1636657,4,4
La Comer,234,234 SUMESA YUCATÃN,19.4126691,-99.1622756,4,4
La Comer,235,235 SUMESA VALLE,19.3940851,-99.1596351,4,4
La Comer,252,252 SUMESA MARTE,19.383395,-99.1336172,4,4
Nutrisa,12033,AV . INSURGENTES SUR # 1352 COL. DEL VALLE CP. 3100 DEL. O MPIO. BENITO JUÁREZ,19.3957972,-99.1715799,1,4
Nutrisa,12061,PALMA # 39 COL. CENTRO CP. 6000 DEL. O MPIO. CUAUHTÉMOC,19.4323677,-99.1354218,1,4
Nutrisa,12082,ANTONIO M. ANZA # 20 COL. ROMA SUR CP. 6700 DEL. O MPIO. CUAUHTÉMOC,19.4112953,-99.1556476,1,4
Nutrisa,12343,PASEO DE LA REFORMA # 222 COL. JUÁREZ CP. 6600 DEL. O MPIO. CUAUHTÉMOC,19.4286725,-99.1616682,1,4
Nutrisa,12381,16 DE SEPTIEMBRE ESQ. ISABEL LA CATOLICA # 61 COL. CENTRO CP. 6000 DEL. O MPIO. CUAUHTÉMOC,19.4330799,-99.1363262,1,4
Nutrisa,12561,AV. CAHABACANO # 43 COL. ASTURIAS CP. 6850 DEL. O MPIO. CUAUHTÉMOC,19.407595,-99.1328563,1,4
Nutrisa,12590,AV. JUÁREZ # 30 COL. CENTRO CP. 6050 DEL. O MPIO. CUAUHTÉMOC,19.434406,-99.14321,1,4
Nutrisa,12596,CALZADA IGNACIO ZARAGOZA # 200 COL. SIETE DE JULIO CP. 15390 DEL. O MPIO. VENUSTIANO CARRANZA,19.430242,-99.112241,1,4
Nutrisa,12725,CALZADA DE TLALPAN # 1037 COL. NATIVITAS CP. 3500 DEL. O MPIO. BENITO JUÁREZ,19.380356,-99.1411184,1,4
Nutrisa,12793,"AV. INSURGENTES ESQ. SAN LUIS POTOSI # 214 , ROMA SUR, CUAUHTEMOC # 214 COL. ROMA SUR CP. 6700 DEL. O MPIO. CUAUHTÉMOC",19.4124425,-99.1656435,1,4
Nutrisa,12795,FRANCISCO I. MADERO # 40 COL. CENTRO CP. 6000 DEL. O MPIO. CUAUHTÉMOC,19.4338062,-99.1369894,1,4
Nutrisa,12807,AV. CUAUHTÉMOC # 462 COL. PIEDAD NARVARTE CP. 3020 DEL. O MPIO. CUAUHTÉMOC,19.3969198,-99.1561339,1,4
Nutrisa,12810,"CALLE LORENZO BOTURINI, NÚM. 258, P1, COLONIA TRANSITO Y/O ESPERANZA, DELEGACIÓN CUAUHTEMOC, C.P. 06820, CDMX. LOCAL SB-16",19.4174851,-99.1301609,1,4
Nutrisa,12929,MONTECITO # 38 COL. NAPOLES CP. 3810 DEL. O MPIO. BENITO JUÁREZ,19.3946846,-99.1740162,1,4
Nutrisa,13206,"LÍNEA 1, LOCAL # 15 CHAPULTEPEC, JUÁREZ, 06600 CIUDAD DE MÉXICO, CDMX, CRFP+FM CIUDAD DE MÉXICO",19.4238924,-99.162257,1,4
Nutrisa,13603,AV. RÍO CHURUBUSCO ESQ. CANAL DE APATLACO # 1635 COL. CENTRAL DE ABASTOS CP. 9040 DEL. O MPIO. IZTAPALAPA,19.3799905,-99.09791,1,4
Nutrisa,13632,AV. RIO CHURUBUSCO # 583 COL. SECTOR POPULAR CP. 9060 DEL. O MPIO. IZTAPALAPA,19.3687387,-99.1217709,1,4
Nutrisa,13960,CALLE GUADALAJARA 53 COL. ROMA # 53 COL. ROMA CP. 6700 DEL. O MPIO. CUAUHTÉMOC,19.4095846,-99.1575732,1,4
Walmart Mexico,1513,1513 SC PORTAL CENTRO,19.415461,-99.1241711,6,4
Walmart Mexico,1770,1770 SC PATIO SANTA FE,19.4255053,-99.1717597,6,4
Walmart Mexico,2033,2033 SC PLAZA ORIENTE,19.384333,-99.0782389,6,4
Walmart Mexico,2670,2670 SC TLALPAN,19.380356,-99.1411184,6,4
Walmart Mexico,3846,3846 SC BUENAVISTA,19.4441323,-99.1537739,6,4
Walmart Mexico,1118,1118 WE CENTRAL INTERLOMAS,19.39512,-99.1751103,6,4
Walmart Mexico,1492,1492 SP OLIPLAZA,19.3687387,-99.1217709,6,4
Walmart Mexico,3223,3223 WE DEL VALLE NORTE,19.3972881,-99.1670235,6,4
Walmart Mexico,3397,3397 WE MAYORAZGO,19.39512,-99.1751103,6,4
Walmart Mexico,3809,3809 WE PACHUCA,19.3930392,-99.1543502,6,4
Walmart Mexico,3820,3820 WE MICHOACAN,19.4114545,-99.1711499,6,4
