Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,174,174 CHEDRAUI SELECTO MEXICO FORTUNA 03-17,19.4832866,-99.1332592,6,6
Chedraui,235,235 CHEDRAUI SELECTO MEXICO UNIVERSIDAD 04-05,19.4832866,-99.1332592,6,6
Chedraui,239,239 CHEDRAUI MEXICO MOLINA 05-05,19.4890482,-99.0931922,6,6
Nutrisa,12271,COLECTORES 13 # 280 COL. MAGDALENA DE LAS SALINAS CP. 07760 DEL. O MPIO. GUSTAVO A. MADERO,19.486661,-99.1312247,1,6
Nutrisa,12419,CALZADA VALLEJO # 296 COL. SAN FRANCISCO XOCOTITLA CP. 2940 DEL. O MPIO. AZCAPOTZALCO,19.468113,-99.1442388,1,6
Nutrisa,12507,"AVENIDA FORTUNA SN, MAGDALENA DE LAS SALINAS, GUSTAVO A. MADERO, CDMX, C.P. 07370",19.4848332,-99.1345586,1,6
Nutrisa,12535,AV. RIO DE LOS REMEDIOS # 5 COL. SAN JUAN IXHUATEPEC CP. 54180 DEL. O MPIO. TLALNEPANTLA,19.5183293,-99.108302,1,6
Nutrisa,12728,ANFORA # 71 COL. MADERO CP. 15320 DEL. O MPIO. VENUSTIANO CARRANZA,19.4383962,-99.1075731,1,6
Nutrisa,12796,AV. MONTEVIDEO # 363 COL. LINDAVISTA CP. 7300 DEL. O MPIO. GUSTAVO A. MADERO,19.4925098,-99.1335519,1,6
Nutrisa,12808,CALZADA VALLEJO # 1090 COL. SANTA CRUZ DE LAS SALINAS CP. 2340 DEL. O MPIO. AZCAPOTZALCO,19.4874244,-99.1525925,1,6
Nutrisa,13215,"AVENIDA CONSTITUCIÓN DE LA REPÚBLICA NO. 221, PRADERA I SECC, GUSTAVO A. MADERO, 07500 CIUDAD DE MÉXICO",19.4801035,-99.0655794,1,6
Nutrisa,13223,TORRES LINDAVISTA LOCAL 1 ISLA J # 343 COL. TORRES LINDAVISTA CP. 7700 DEL. O MPIO. GUSTAVO A. MADERO,19.5109537,-99.1442316,1,6
Walmart Mexico,1203,1203 SC SUPER PLAZA ECATEPEC,19.5003346,-99.0429903,6,6
Walmart Mexico,1584,1584 SC ESPACIO ESMERALDA,19.5385926,-99.0930528,6,6
Walmart Mexico,2079,2079 SC CD JARDIN,19.4251409,-99.0236532,6,6
Walmart Mexico,2345,2345 SC TEPEYAC,19.4722094,-99.1217342,6,6
Walmart Mexico,3511,3511 SC MARIO COLIN,19.4557924,-99.1421227,6,6
Walmart Mexico,3794,3794 SC ACUEDUCTO DE GPE.,19.5311614,-99.1561665,6,6
Walmart Mexico,3977,3977 SC PORTAL CENTENARIO,19.4789468,-99.0968208,6,6
Walmart Mexico,4157,4157 SC PERIFERICO CUAUTITLAN,19.4789468,-99.0968208,6,6
Walmart Mexico,5469,5469 SC RIO DE LOS REMEDIOS,19.5071833,-99.0855801,6,6
Walmart Mexico,5133,5133 SP PARQUE TEPEYAC,19.4779083,-99.099081,6,6
